x,y,z
333037.318,3060595.753,1285.9
333037.46,3060595.705,1285.8
333037.602,3060595.657,1285.7
333037.744,3060595.609,1285.6
333037.886,3060595.561,1285.5
333038.029,3060595.513,1285.4
333038.171,3060595.465,1285.3
333038.313,3060595.417,1285.2
333038.455,3060595.369,1285.1
333038.597,3060595.321,1285.9
333038.739,3060595.273,1285.8
333038.881,3060595.225,1285.7
333039.023,3060595.177,1285.6
333039.165,3060595.129,1285.5
333039.308,3060595.081,1285.4
333039.45,3060595.033,1285.3
333039.592,3060594.985,1285.2
333039.734,3060594.937,1285.1
